From,To,Weight
Enrichments,"Rewards, Engagement & Recognition",1
Enrichments,"Rewards, Engagement & Recognition",1
Feeds,"Rewards, Engagement & Recognition",1
Games,Core & Content,1
Games,Core & Content,1
Games,Core & Content,1
Games,Core & Content,1
Guideline,Guidelines,1
Guideline,Guidelines,1
Hints,Core & Content,1
Interactives,Features & Engines,1
Interactives,Features & Engines,1
Games,Core & Content,1
Guideline,Guidelines,1
Leaderboard,"Rewards, Engagement & Recognition",1
Leaderboard,"Rewards, Engagement & Recognition",1
Leaderboard,"Rewards, Engagement & Recognition",1
Reward System,"Rewards, Engagement & Recognition",1
Metacognition,Core & Content,1
Guideline,Guidelines,1
Option specific display answers,Features & Engines,1
Peer Learning,Others,1
Peer Learning,Others,1
Projects Module,Others,1
Projects Module,Others,1
Public (National/School level) recognition,"Rewards, Engagement & Recognition",1
Public (National/School level) recognition,"Rewards, Engagement & Recognition",1
Puzzles/ Brain Teaser Feature,"Rewards, Engagement & Recognition",1
Puzzles/ Brain Teaser Feature,"Rewards, Engagement & Recognition",1
Regular Questions,Core & Content,1
Relevant Introduction,Core & Content,1
Relevant Introduction,Core & Content,1
Remedial module,Core & Content,1
Reports,Reports & Insights,1
Reward System,"Rewards, Engagement & Recognition",1
Search,Features & Engines,1
Practice,Core & Content,1
Revision,Core & Content,1
Practice,Core & Content,1
Show tags against content which are available/not available on devices,Others,1
Story module to give context/real life application of the concepts during the flow,Others,1
Story module to give context/real life application of the concepts during the flow,Others,1
Practice,Core & Content,1
Revision,Core & Content,1
Guideline,Guidelines,1
Themes,"Rewards, Engagement & Recognition",1
Timeline Videos,Others,1
Topic Page,Resources,1
Topic Progress,Features & Engines,1
"Video Module (Introduction, In flow, Exploratory)",Others,1
Reward System,"Rewards, Engagement & Recognition",1
Child performance reports,Reports & Insights,1
Child performance reports,Reports & Insights,1
Child performance reports,Reports & Insights,1
Child performance reports,Reports & Insights,1
Communication platform,Feedback & Communication,1
Emailers,Feedback & Communication,1
Leaderboard,"Rewards, Engagement & Recognition",1
Communication platform,Feedback & Communication,1
Parent child activities module,Others,1
Parent child activities module,Others,1
Parent child activities module,Others,1
Predict performance / share good performance indicators,Features & Engines,1
Triggers (anomaly detection),Features & Engines,1
Sparkies,"Rewards, Engagement & Recognition",1
Student Notice board,Feedback & Communication,1
Kudos,"Rewards, Engagement & Recognition",1
End session report,Reports & Insights,1
Session-wise report,Reports & Insights,1
Question trail,Reports & Insights,1
Emote toolbar,Features & Engines,1
Idle time checker,Features & Engines,1
Numeric parser,Features & Engines,1
Non-numeric parser,Features & Engines,1
Help,Features & Engines,1
Timed test,Core & Content,1
"Wild card, research question",Features & Engines,1
Glossary,Features & Engines,1
"Explore zone - brain teasers, shortcuts",Features & Engines,1
"Exam corner - summary sheets, Exam tips",Features & Engines,1
Exam corner - Improve your cocepts,Features & Engines,1
Monthly student feedback,Feedback & Communication,1
Strengths and weakness ,Features & Engines,1
Teacher usage report,Core & Content,1
Mindspark in numbers,Features & Engines,1
"Topic research - research paper summaries, student interview summaries",Resources,1
Misconception videos,Resources,1
Topic accuracy report,Reports & Insights,1
Topic progress report,Reports & Insights,1
Class report,Reports & Insights,1
Student-wise usage report,Reports & Insights,1
Individual student report - new,Reports & Insights,1
Individual student report - old,Reports & Insights,1
Teaching mapping details,Others,1
Daily usage report,Reports & Insights,1
Common wrong answer report,Reports & Insights,1
Timed test report,Reports & Insights,1
Topic-wise practice report,Reports & Insights,1
Topic activation summary report,Reports & Insights,1
Add a question to Mindspark,Core & Content,1
Error reporting,Features & Engines,1
Mail to parents,Feedback & Communication,1
Student notice board,Feedback & Communication,1
Edit student details,Features & Engines,1
Reset student password,Features & Engines,1
Settings page,Others,1
Help,Features & Engines,1
Switch to old interface,Others,1
Quarterly teacher feeedback,Feedback & Communication,1
Do Mindspark as a student,Features & Engines,1
"MYR, EYR, Monthly reports",Reports & Insights,1
Categorization of home usage,Features & Engines,1
Feedback categorization,Feedback & Communication,1
Alerts system,Feedback & Communication,1
Core & Content,AQAD (new),1
Reports & Insights,Question trail (students) (new),1
Features & Engines,Conditional alerts (new),1
Features & Engines,Option specific display answer (new),1
"Rewards, Engagement & Recognition",Challenge question (new),1
Features & Engines,"Wild card, research question (new)",1
Core & Content,Glossary (new),1
Others,Teaching mapping details (new),1
Features & Engines,Reset student password (new),1
Feedback & Communication,Teacher forum (new),1
Features & Engines,Live class (new),1
Others,Settings page (new),1
Core & Content,Regular Questions (new),1
Features & Engines,Idle time checker (new),1
Features & Engines,Strengths and weakness (new),1
Core & Content,Adaptive logic (new),1
Features & Engines,Topic progress (new),1
"Rewards, Engagement & Recognition",Rewards central (new),1
Core & Content,Games (new),1
"Rewards, Engagement & Recognition",Enrichments (new),1
Core & Content,Remedials (new),1
Core & Content,Introductions (new),1
Features & Engines,Hints (new),1
Features & Engines,Question interactive (new),1
Feedback & Communication,Feedback (new),1
Feedback & Communication,Alerts system (new),1
Reports & Insights,Teacher reports (new),1
"Rewards, Engagement & Recognition",Interesting content - Puzzles/ Brain Teaser Feature (new),1
Reports & Insights,Admin/HOD reports (new),1
Reports & Insights,Student reports (new),1
Reports & Insights,Numeric parser (new),1
Features & Engines,Competitive exam corner (new),1
"Rewards, Engagement & Recognition",Super test (new),1
Features & Engines,"Topic activation, deactivation (new)",1
Features & Engines,Edit student details (new),1
Core & Content,Student Topic Page (new),1
"Rewards, Engagement & Recognition",Feeds (new),1
Reports & Insights,Impact assessment (new),1
Features & Engines,Non-numeric parser (new),1
Others,Help (new),1
Core & Content,"Co-creation - Qs, activities, ideas, etc (new)",1
"Rewards, Engagement & Recognition",Themes (new),1
"Rewards, Engagement & Recognition",Multi-player game (new),1
Resources,"Topic research - research paper summaries, student interview summaries (new)",1
Resources,Misconception videos (new),1
Others,Parent child activities module (new),1
Reports & Insights,"parent reports (on mock tests, exam questions, regular questions, include responses on value based questions) (new)",1
Features & Engines,Predict performance / share good performance indicators (new),1
Feedback & Communication,Communication platform (with all users and system) (new),1
Core & Content,Skill tagging to content (new),1
Features & Engines,Diagnostic Tests (new),1
Features & Engines,Project module (new),1
Guidelines,Peer Learning for students (new),1
Others,mark content with tags for device friendliess (new),1
Core & Content,Practice (new),1
Others,Metacognition (new),1
Others,Timeline Videos (new),1
"Rewards, Engagement & Recognition",Buddy (new),1
Features & Engines,Search on Student Interface (new),1
Features & Engines,Academic Planner - teachers (new),1
Others,Meetups (new),1
Features & Engines,Search in Teacher Interface (new),1
Resources,"Teacher's topic repository (Resources to Plan, Teach, Remediate) (new)",1
Others,"Video Module - students (Introduction, In flow, Exploratory) (new)",1
"Rewards, Engagement & Recognition",Leader Board (new),1
